title,budget_new,runtime,genres,genres_new,revenue
2:22,22531334,99,Drama,1,422
9,30000000,79,Action,3,48428063
13,22531334,97,Drama,1,3317662
21,35000000,123,Drama,1,69823199
31,1500000,102,Horror,5,779820
54,13000000,106,Music,16,16757163
1969,22531334,95,Drama,1,5979011
2010,28000000,116,Thriller,7,40400657
(500) Days of Summer,7500000,95,Comedy,2,60722734
? ?????? ??? ??????????,22531334,0,Drama,1,234748
???????,6000000,,Drama,1,31000
[REC],1500000,78,Horror,5,30448000
[REC]? Apocalypse,22531334,95,Thriller,7,190000
[REC]²,5600000,85,Thriller,7,18469680
¿Quién mató a Bambi?,22531334,0,Comedy,2,850259
10 Cloverfield Lane,15000000,103,Thriller,7,108286421
10 Items or Less,22531334,81,Comedy,2,580527
10 Things I Hate About You,16000000,97,Comedy,2,53478166
10 to Midnight,4520000,101,Horror,5,7175592
"10,000 BC",105000000,109,Adventure,4,266000000
10th & Wolf,8000000,107,Action,3,143451
12 Rounds,20000000,108,Action,3,17280326
13 Assassins,6000000,141,Adventure,4,17555141
13 Hours: The Secret Soldiers of Benghazi,50000000,144,Action,3,69411370
13 Minutes,22531334,114,Drama,1,147315
1492: Conquest of Paradise,47000000,154,Action,3,7191399
15 Minutes,60000000,120,Action,3,56359980
2 Days in Paris,22531334,96,Comedy,2,19776159
"20,000 Leagues Under the Sea",200000,105,Adventure,4,8000000
21 & Over,13000000,93,Comedy,2,48065672
21 Grams,20000000,124,Drama,1,60427839
22 Jump Street,50000000,112,Crime,6,188441614
25th Hour,15000000,135,Crime,6,13060843
28 Days Later,5000000,113,Horror,5,82719885
3 Braves,143149,94,Family,13,645135
3 Godfathers,1243000,106,Action,3,2841000
3 Strikes,6000000,82,Action,3,9000000
300: Rise of an Empire,110000000,102,Action,3,337580051
"4 Months, 3 Weeks and 2 Days",852510,113,Drama,1,1185783
4.3.2.1,4600000,117,Action,3,1163967
48 Hrs.,12000000,96,Thriller,7,78868508
49 Up,22531334,180,Documentary,9,238073
5 Flights Up,6000000,92,Drama,1,1020921
50 First Dates,75000000,99,Comedy,2,196482882
55 Days at Peking,17000000,154,Action,3,10000000
'71,22531334,99,Thriller,7,1625847
8MM,40000000,123,Thriller,7,96618699
A Band Called Death,22531334,96,Documentary,9,125
A Beautiful Mind,60000000,135,Drama,1,313542341
A Better Life,10000000,98,Drama,1,1759252
